region_id,region
region1,ASIA (EX. NEAR EAST)
region2,EASTERN EUROPE
region3,NORTHERN AFRICA
region4,OCEANIA
region5,WESTERN EUROPE
region6,SUB-SAHARAN AFRICA
region7,LATIN AMER. & CARIB
region8,C.W. OF IND. STATES
region9,NEAR EAST
region10,NORTHERN AMERICA
region11,BALTICS
